세그먼트,원인
S2,
V1,비정형노동형
S3,
S3,
S2,
V2,부채과다형
S2,
S3,
S3,
S2,
S3,
V1,비정형노동형
S2,
S1,
V1,비정형노동형
S3,
V1,무직형
V1,비정형노동형
S3,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
V1,무직형
S3,
S3,
S3,
S3,
V1,비정형노동형
V1,부채과다형
S3,
S2,
V1,비정형노동형
V2,부채과다형
S3,
V2,부채과다형
V1,부채과다형
V1,유동성형
V1,무직형
S2,
S2,
S3,
S1,
V3,파산·회생형
V1,비정형노동형
S3,
V1,이력부족형
S3,
V1,부채과다형
S1,
V2,부채과다형
V1,비정형노동형
S3,
V1,부채과다형
S3,
V1,비정형노동형
S3,
S1,
S2,
V2,부채과다형
S3,
S1,
V2,부채과다형
S3,
S3,
S1,
S2,
S2,
S3,
V2,연체형
V1,비정형노동형
S3,
S3,
S3,
V2,부채과다형
S3,
S3,
S2,
V1,유동성형
V1,비정형노동형
V1,무직형
V1,비정형노동형
S3,
S3,
S2,
S3,
S3,
S3,
S2,
S3,
S3,
V1,비정형노동형
S2,
S3,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
S2,
V1,무직형
S2,
V1,부채과다형
S1,
V1,부채과다형
S3,
V1,비정형노동형
S2,
S3,
V2,부채과다형
V1,유동성형
V1,유동성형
S1,
V1,부채과다형
S3,
S2,
S3,
S3,
S3,
S3,
S1,
S3,
V1,부채과다형
V2,부채과다형
S3,
S3,
V1,비정형노동형
V1,무직형
S3,
S3,
V1,비정형노동형
S3,
V1,비정형노동형
V1,비정형노동형
V1,유동성형
S3,
S3,
V1,비정형노동형
V1,비정형노동형
S3,
S3,
S3,
S2,
S2,
V1,부채과다형
S3,
V2,부채과다형
S3,
S3,
S2,
V1,무직형
S3,
S3,
S3,
V1,비정형노동형
S2,
S3,
V2,부채과다형
S3,
V3,무직형
S2,
V1,비정형노동형
S3,
S2,
S3,
S2,
S1,
V1,비정형노동형
V1,이력부족형
S1,
S1,
V1,비정형노동형
V2,부채과다형
S3,
S2,
V1,무직형
S1,
S3,
V1,유동성형
V1,비정형노동형
S3,
V1,무직형
S2,
V2,부채과다형
S3,
S2,
V1,비정형노동형
V1,유동성형
S1,
S3,
S3,
S3,
V2,부채과다형
V2,부채과다형
S2,
V2,부채과다형
S3,
V1,비정형노동형
S3,
S3,
S2,
V1,유동성형
S3,
S3,
S3,
V1,이력부족형
S2,
V1,부채과다형
S3,
S2,
V1,무직형
V1,비정형노동형
V1,이력부족형
S2,
V1,이력부족형
V1,비정형노동형
V1,비정형노동형
S3,
S3,
S3,
S3,
S3,
V2,부채과다형
S3,
V1,비정형노동형
V2,부채과다형
V1,유동성형
V1,무직형
S2,
S3,
V1,비정형노동형
S1,
V1,비정형노동형
S3,
S2,
S3,
V1,비정형노동형
S1,
V1,무직형
S3,
V1,비정형노동형
V1,무직형
S2,
S2,
S3,
S2,
S2,
S2,
S1,
V1,비정형노동형
S3,
S2,
S3,
V1,비정형노동형
V1,부채과다형
V1,비정형노동형
S3,
S3,
S3,
S3,
V1,무직형
V1,부채과다형
S3,
S2,
S2,
S3,
S1,
S3,
S3,
S3,
S1,
V1,부채과다형
V1,비정형노동형
S1,
V1,부채과다형
V1,비정형노동형
V1,비정형노동형
S3,
S3,
S1,
V1,유동성형
V1,이력부족형
V1,비정형노동형
S1,
V1,무직형
V3,무직형
S3,
S3,
S3,
S2,
V1,비정형노동형
V1,이력부족형
S3,
S2,
S3,
S1,
S3,
V1,이력부족형
V3,파산·회생형
S3,
S1,
S3,
V1,비정형노동형
V1,무직형
S1,
S2,
S2,
S3,
V1,무직형
S3,
S3,
S3,
S3,
S3,
V1,무직형
V2,부채과다형
V1,무직형
V1,비정형노동형
S2,
S2,
S3,
S3,
V1,부채과다형
S2,
S3,
V1,무직형
V1,비정형노동형
S3,
V1,이력부족형
S3,
S3,
S3,
S3,
S3,
V1,비정형노동형
S2,
S2,
S1,
S3,
S3,
S2,
V2,부채과다형
S2,
S3,
S3,
V1,무직형
S3,
V1,비정형노동형
S3,
S2,
V1,부채과다형
S3,
S2,
V2,연체형
V1,이력부족형
S2,
V1,비정형노동형
S3,
V1,무직형
S2,
S2,
S3,
V2,부채과다형
S1,
S2,
S3,
S3,
S2,
S2,
V1,이력부족형
S3,
S3,
S3,
S1,
S3,
V2,부채과다형
V1,비정형노동형
S3,
V1,이력부족형
V2,부채과다형
S2,
V1,무직형
S3,
S2,
V1,유동성형
S2,
V1,비정형노동형
V1,이력부족형
S3,
V1,부채과다형
S3,
S3,
V1,비정형노동형
V1,비정형노동형
V2,부채과다형
V1,무직형
S3,
S3,
S2,
S2,
S3,
V1,유동성형
S3,
V1,부채과다형
V1,이력부족형
V1,부채과다형
V1,비정형노동형
V1,비정형노동형
S3,
S1,
V1,무직형
S2,
S1,
S2,
S2,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
V1,유동성형
V1,비정형노동형
S3,
S3,
S3,
S1,
S3,
V1,비정형노동형
S2,
V1,무직형
V1,비정형노동형
V1,비정형노동형
V1,무직형
S3,
S3,
S2,
V1,비정형노동형
S3,
S2,
V1,비정형노동형
V2,부채과다형
V1,부채과다형
S2,
V1,부채과다형
V2,부채과다형
V1,이력부족형
S3,
V1,무직형
V1,비정형노동형
S2,
S3,
V1,무직형
S3,
V1,비정형노동형
S1,
S2,
V1,비정형노동형
V2,부채과다형
S2,
V1,비정형노동형
V1,부채과다형
S3,
S3,
V1,비정형노동형
V2,부채과다형
S2,
S3,
S3,
S2,
S1,
V1,비정형노동형
V1,비정형노동형
S1,
S3,
S3,
S3,
V2,부채과다형
S2,
S3,
V1,무직형
S3,
V1,비정형노동형
V1,비정형노동형
S2,
V1,비정형노동형
V1,유동성형
V1,무직형
S2,
S3,
V1,비정형노동형
S2,
S3,
S3,
V1,부채과다형
V1,비정형노동형
S3,
S3,
S3,
S2,
V1,이력부족형
S3,
V1,비정형노동형
S3,
S2,
S3,
V1,이력부족형
S2,
S2,
S3,
V1,비정형노동형
V1,무직형
S2,
V2,부채과다형
S3,
S3,
S2,
V1,유동성형
S3,
S3,
V1,비정형노동형
S3,
S2,
V1,이력부족형
S3,
V2,부채과다형
V2,부채과다형
V1,유동성형
S3,
S3,
V1,부채과다형
V2,부채과다형
S3,
S1,
S2,
V1,비정형노동형
S3,
S2,
V3,부채과다형
V1,유동성형
S2,
V1,비정형노동형
S2,
V1,비정형노동형
V1,유동성형
S3,
V1,비정형노동형
S3,
S3,
V1,비정형노동형
S2,
S3,
S3,
S3,
V1,저소득형
V1,비정형노동형
V2,부채과다형
V1,비정형노동형
S3,
S3,
S3,
S3,
S3,
S3,
S2,
S3,
S3,
S1,
S3,
V1,비정형노동형
S3,
S2,
V1,비정형노동형
V2,부채과다형
S3,
S3,
V2,부채과다형
S3,
S1,
S2,
S2,
S3,
S2,
S2,
V1,유동성형
S3,
S3,
S3,
S3,
S3,
V1,비정형노동형
S3,
V1,유동성형
V1,비정형노동형
V1,이력부족형
V1,비정형노동형
V1,부채과다형
V1,무직형
S2,
V3,연체형
V1,비정형노동형
V1,무직형
S3,
S3,
S3,
V1,저소득형
S3,
S2,
S3,
V1,비정형노동형
V1,비정형노동형
S1,
S3,
S2,
S3,
S2,
S2,
S2,
S3,
V1,비정형노동형
S2,
S2,
V1,비정형노동형
S2,
S3,
V1,비정형노동형
S2,
V1,비정형노동형
S3,
V1,유동성형
S3,
S3,
S2,
S3,
S2,
V1,부채과다형
S3,
S2,
S3,
V1,유동성형
S3,
S3,
V1,부채과다형
S2,
S1,
S2,
S3,
V1,무직형
V1,부채과다형
S1,
S2,
S3,
V1,부채과다형
S3,
V1,비정형노동형
S3,
S3,
V1,비정형노동형
S3,
S3,
S3,
V1,무직형
S3,
V1,비정형노동형
S2,
S2,
S2,
V1,이력부족형
V2,부채과다형
S3,
S3,
S1,
V1,무직형
V1,비정형노동형
V1,비정형노동형
S2,
S2,
V1,유동성형
V1,유동성형
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
S2,
S3,
S3,
S3,
V3,파산·회생형
S3,
S2,
S3,
S2,
V1,저소득형
S3,
V1,비정형노동형
V1,무직형
V1,이력부족형
S2,
S2,
S2,
V1,비정형노동형
S3,
S1,
S3,
V1,비정형노동형
S3,
S3,
V3,연체형
V1,유동성형
S1,
S2,
V1,이력부족형
V1,유동성형
S3,
V1,무직형
S3,
V1,유동성형
S3,
S2,
V1,무직형
S1,
V1,부채과다형
S2,
V2,부채과다형
S3,
S3,
V1,저소득형
V1,부채과다형
S3,
S3,
S3,
V1,유동성형
S3,
S2,
S3,
S3,
S3,
V1,비정형노동형
S2,
V1,무직형
S3,
S3,
V1,비정형노동형
V1,비정형노동형
S3,
S3,
S2,
S3,
S3,
V1,저소득형
V1,부채과다형
V1,무직형
V1,비정형노동형
V1,비정형노동형
S3,
V1,무직형
V1,비정형노동형
V1,비정형노동형
S2,
S3,
S3,
S3,
S3,
V1,무직형
V1,비정형노동형
V2,부채과다형
S2,
S1,
S3,
S3,
S3,
V1,비정형노동형
S2,
S3,
V1,저소득형
S3,
V1,유동성형
V1,부채과다형
S2,
S3,
S2,
S3,
V1,부채과다형
S3,
S3,
S2,
S3,
V1,비정형노동형
V1,무직형
V1,무직형
V2,연체형
S3,
S2,
V1,부채과다형
S3,
S2,
S2,
S1,
S2,
V1,무직형
S2,
V1,비정형노동형
S1,
S3,
V1,비정형노동형
V1,비정형노동형
S1,
S3,
S3,
V1,비정형노동형
S1,
S3,
S3,
V2,부채과다형
S2,
S2,
V3,비정형노동형
S2,
S2,
V1,비정형노동형
S3,
S2,
S3,
V1,비정형노동형
V2,부채과다형
S2,
S3,
V1,비정형노동형
S2,
V1,무직형
V1,무직형
V1,비정형노동형
V1,이력부족형
V1,무직형
V1,비정형노동형
V2,부채과다형
S2,
V1,비정형노동형
V1,무직형
S3,
V1,무직형
S2,
S3,
S1,
S1,
V1,무직형
S1,
V1,유동성형
S3,
S3,
V1,유동성형
V2,부채과다형
S3,
S2,
S3,
S3,
S2,
S3,
V1,비정형노동형
S1,
S2,
V2,부채과다형
V1,유동성형
S1,
S1,
S2,
V1,비정형노동형
V1,무직형
V1,유동성형
V1,비정형노동형
S3,
V1,비정형노동형
V1,부채과다형
S1,
V2,부채과다형
V1,비정형노동형
S3,
S2,
V1,저소득형
V1,이력부족형
S3,
S3,
S3,
V1,비정형노동형
S2,
V1,비정형노동형
V1,비정형노동형
V1,이력부족형
S2,
V1,무직형
V1,이력부족형
S1,
V1,비정형노동형
S3,
V3,연체형
S2,
S3,
V1,비정형노동형
S3,
S3,
V1,부채과다형
V1,무직형
S2,
S3,
V1,이력부족형
V2,연체형
S1,
S3,
S2,
S3,
S3,
V1,무직형
V2,부채과다형
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
S2,
V1,유동성형
S3,
S2,
S3,
V1,비정형노동형
V2,부채과다형
V1,비정형노동형
S3,
S2,
S3,
V1,유동성형
S1,
V1,이력부족형
S3,
S3,
S3,
S3,
V1,무직형
S3,
S3,
V1,무직형
V1,비정형노동형
S3,
V1,비정형노동형
V2,부채과다형
S3,
S3,
V1,무직형
S3,
S3,
S2,
S2,
V1,이력부족형
S3,
S3,
S3,
V1,비정형노동형
S3,
V2,연체형
V1,비정형노동형
S2,
V1,비정형노동형
S3,
S2,
S3,
V1,비정형노동형
V1,유동성형
V1,무직형
V1,저소득형
V1,비정형노동형
S2,
S3,
V1,비정형노동형
V1,무직형
S2,
S2,
S3,
V2,부채과다형
S2,
V1,무직형
S1,
S3,
S2,
V1,무직형
V1,무직형
S3,
S3,
V1,비정형노동형
S3,
V1,무직형
S2,
V2,부채과다형
V1,무직형
S3,
V1,무직형
S1,
S2,
V1,이력부족형
S3,
V1,비정형노동형
V1,무직형
V1,무직형
S2,
V1,비정형노동형
S3,
V1,비정형노동형
S3,
S3,
S3,
S2,
S3,
V1,부채과다형
S2,
V1,비정형노동형
V1,이력부족형
S3,
V1,비정형노동형
V1,비정형노동형
S3,
S2,
V1,비정형노동형
V1,비정형노동형
S2,
V3,연체형
S3,
S2,
V1,유동성형
S3,
V1,유동성형
V1,비정형노동형
V1,무직형
S3,
S3,
V1,유동성형
S3,
V1,무직형
S3,
V1,비정형노동형
V1,비정형노동형
S1,
V1,비정형노동형
V1,무직형
V1,비정형노동형
V1,무직형
S2,
V1,부채과다형
S3,
V2,부채과다형
V1,비정형노동형
V3,파산·회생형
V1,비정형노동형
S3,
S2,
V2,부채과다형
S3,
S3,
S1,
V1,비정형노동형
S2,
S2,
V1,비정형노동형
S2,
S3,
S1,
S2,
S2,
S3,
S3,
S3,
S3,
S2,
S3,
S2,
S3,
S1,
V1,무직형
V1,비정형노동형
V1,비정형노동형
S3,
V1,비정형노동형
V1,저소득형
S2,
S2,
V1,비정형노동형
V1,비정형노동형
S2,
V1,이력부족형
V1,비정형노동형
S3,
V2,부채과다형
V1,무직형
S2,
S3,
S3,
V1,비정형노동형
V1,비정형노동형
S2,
S3,
S2,
V1,비정형노동형
S2,
S3,
V1,부채과다형
S3,
V1,부채과다형
S2,
S3,
S2,
S2,
S2,
S3,
V1,부채과다형
S2,
S2,
S3,
S3,
V1,비정형노동형
S2,
V1,무직형
V1,비정형노동형
S3,
S3,
S3,
V1,부채과다형
S3,
S3,
S3,
S3,
V1,비정형노동형
S2,
S3,
V1,비정형노동형
V1,무직형
S2,
V1,유동성형
S3,
S3,
S3,
V1,비정형노동형
S3,
S3,
V1,비정형노동형
V1,비정형노동형
S2,
V1,무직형
V1,비정형노동형
S2,
S3,
S2,
S2,
V1,비정형노동형
S1,
S2,
S2,
V1,무직형
V1,비정형노동형
S2,
S2,
S3,
V1,비정형노동형
V1,비정형노동형
V2,부채과다형
V1,비정형노동형
S3,
S1,
V1,무직형
V1,비정형노동형
V1,유동성형
S3,
S2,
S3,
S2,
V1,비정형노동형
S2,
V1,비정형노동형
S3,
S3,
S3,
S3,
S2,
S3,
S2,
V1,무직형
S2,
S3,
V2,연체형
S3,
V1,부채과다형
S2,
S3,
V2,부채과다형
S3,
S3,
V1,무직형
S3,
V1,비정형노동형
S3,
S3,
S2,
S2,
V1,비정형노동형
S2,
S3,
S1,
S1,
S3,
S3,
V1,유동성형
S3,
V1,부채과다형
V1,이력부족형
V1,유동성형
S3,
S3,
S3,
S2,
S3,
S3,
V1,무직형
V1,비정형노동형
V1,비정형노동형
V2,부채과다형
S3,
V2,부채과다형
S2,
S2,
S3,
S3,
S2,
V1,부채과다형
V2,부채과다형
V1,비정형노동형
S3,
V1,이력부족형
V1,비정형노동형
S3,
V3,파산·회생형
V2,부채과다형
V1,부채과다형
V1,비정형노동형
S3,
V1,비정형노동형
V1,유동성형
S2,
V1,비정형노동형
S2,
V1,비정형노동형
S1,
S2,
V1,비정형노동형
S2,
S2,
S3,
S3,
S1,
S3,
S3,
S3,
V1,비정형노동형
V1,유동성형
V1,비정형노동형
V1,비정형노동형
S2,
V1,비정형노동형
V1,비정형노동형
S2,
V1,무직형
S3,
S2,
V1,비정형노동형
V1,이력부족형
V1,유동성형
V1,비정형노동형
V1,무직형
S3,
S2,
S2,
V1,비정형노동형
S2,
V1,무직형
S3,
V1,비정형노동형
V1,비정형노동형
S3,
S1,
S3,
S3,
S3,
V1,비정형노동형
S3,
V1,비정형노동형
S3,
V1,비정형노동형
V1,이력부족형
S3,
V1,이력부족형
S3,
S2,
S2,
S2,
S3,
V1,무직형
V1,비정형노동형
S2,
S3,
S3,
V2,부채과다형
S3,
V2,부채과다형
S3,
V1,유동성형
V1,무직형
S3,
V2,부채과다형
V2,부채과다형
S2,
V1,비정형노동형
S3,
S3,
V1,비정형노동형
V1,이력부족형
V1,이력부족형
S3,
V1,비정형노동형
S2,
S3,
V1,비정형노동형
S3,
S3,
S3,
S3,
S3,
S3,
S3,
S1,
S2,
S3,
V1,무직형
V1,비정형노동형
S2,
S3,
S2,
S3,
S3,
V1,이력부족형
V1,비정형노동형
V1,비정형노동형
S3,
S2,
S1,
V1,비정형노동형
V1,비정형노동형
V1,무직형
S3,
S1,
V1,무직형
V1,비정형노동형
S2,
S3,
S3,
S3,
S3,
S3,
S3,
S1,
V1,유동성형
S2,
S3,
S3,
V1,비정형노동형
S3,
V2,부채과다형
S3,
S2,
V1,무직형
V1,부채과다형
V2,부채과다형
V1,무직형
S2,
S2,
S3,
V2,부채과다형
S3,
S3,
V1,비정형노동형
S3,
S2,
S3,
S3,
S2,
V2,부채과다형
V1,무직형
V2,부채과다형
V1,비정형노동형
S2,
S3,
S2,
S3,
S3,
S2,
S2,
S3,
S3,
S2,
S3,
S3,
V1,무직형
V1,비정형노동형
S2,
S3,
S3,
S3,
V2,부채과다형
S2,
S1,
S2,
S3,
S2,
S3,
S2,
S2,
S3,
V1,유동성형
S2,
S3,
S3,
S2,
S3,
V1,부채과다형
V1,비정형노동형
V1,부채과다형
S3,
S2,
V1,비정형노동형
S2,
S3,
S2,
V1,비정형노동형
V2,부채과다형
V2,부채과다형
V1,비정형노동형
S3,
S2,
S1,
S2,
S2,
S1,
V1,부채과다형
V1,비정형노동형
V1,부채과다형
V1,무직형
S1,
S2,
S2,
S1,
S2,
S1,
S3,
V1,무직형
V1,비정형노동형
V1,부채과다형
V1,비정형노동형
S2,
S3,
S3,
S2,
S3,
S2,
S3,
S3,
S2,
V1,유동성형
S2,
V1,무직형
V1,이력부족형
S3,
V1,비정형노동형
V1,무직형
S1,
S3,
S3,
S3,
S2,
S2,
V1,비정형노동형
V1,이력부족형
S1,
V1,비정형노동형
V2,부채과다형
V1,무직형
S3,
S2,
S3,
S3,
S2,
S3,
V2,부채과다형
S3,
S2,
S3,
S2,
S3,
S3,
V1,부채과다형
V1,유동성형
S3,
S3,
S3,
S3,
S3,
S3,
S2,
S3,
S3,
V1,이력부족형
S3,
S3,
S3,
S3,
V1,부채과다형
S3,
S2,
V1,이력부족형
S3,
S2,
S3,
S2,
S3,
S3,
S2,
S3,
S3,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
V1,부채과다형
S3,
V1,무직형
V1,이력부족형
S3,
S3,
S1,
V2,부채과다형
V1,부채과다형
S2,
V1,비정형노동형
S3,
S1,
V1,비정형노동형
V1,부채과다형
S3,
S3,
S3,
S3,
S1,
S3,
S2,
V1,이력부족형
S3,
S3,
S3,
V1,부채과다형
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
V1,무직형
S2,
S3,
V1,저소득형
V1,무직형
V1,유동성형
S3,
S3,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
V1,유동성형
S3,
S3,
S3,
S2,
V2,부채과다형
S3,
V2,부채과다형
S3,
S3,
S3,
V1,비정형노동형
V1,유동성형
V1,이력부족형
S2,
V1,이력부족형
S3,
V1,비정형노동형
S2,
S3,
S2,
V1,유동성형
S3,
S3,
V2,부채과다형
S3,
V1,이력부족형
S3,
V1,비정형노동형
S3,
S2,
V1,부채과다형
V2,부채과다형
S3,
S2,
V2,연체형
S1,
S2,
V2,부채과다형
V1,비정형노동형
V1,무직형
S3,
S3,
S3,
S3,
S3,
S3,
S3,
V1,유동성형
S2,
S3,
S3,
S3,
S3,
S2,
V2,부채과다형
S3,
V1,비정형노동형
S3,
S3,
S2,
S3,
S3,
V2,부채과다형
S2,
V1,무직형
S2,
S2,
S2,
S2,
S3,
V1,비정형노동형
V1,비정형노동형
V1,비정형노동형
S3,
V1,저소득형
S3,
V1,비정형노동형
S3,
S2,
V1,이력부족형
S3,
S3,
S3,
S2,
V1,이력부족형
V1,비정형노동형
V2,부채과다형
S2,
V1,무직형
V2,부채과다형
S3,
S3,
S3,
S3,
S2,
S3,
V1,비정형노동형
S1,
S2,
V1,비정형노동형
S2,
V1,무직형
S2,
S3,
S3,
V2,부채과다형
S3,
S3,
S3,
S1,
V1,유동성형
S2,
V1,무직형
S3,
S3,
V2,부채과다형
S3,
S2,
V1,이력부족형
S2,
S3,
V1,이력부족형
S2,
S3,
V1,비정형노동형
S3,
V2,부채과다형
V1,무직형
S2,
S3,
S1,
S3,
S3,
V1,유동성형
V1,비정형노동형
S2,
V1,비정형노동형
S3,
V1,유동성형
S1,
V1,유동성형
V1,비정형노동형
S2,
S1,
S3,
S3,
S1,
V1,비정형노동형
S3,
S3,
V2,부채과다형
V1,무직형
S3,
S3,
V1,비정형노동형
S3,
S3,
V1,무직형
V1,비정형노동형
V1,무직형
S3,
V1,이력부족형
V1,저소득형
S2,
S3,
V1,무직형
S2,
V1,비정형노동형
S3,
S3,
V1,비정형노동형
S3,
S2,
V1,이력부족형
S3,
S3,
S3,
S2,
S3,
V1,무직형
S3,
V1,비정형노동형
S2,
S3,
S3,
S2,
S2,
S3,
S3,
S3,
V1,비정형노동형
V1,비정형노동형
V1,이력부족형
S3,
S3,
S3,
S1,
S3,
S3,
V1,무직형
V1,비정형노동형
S3,
S2,
S2,
S3,
S1,
S2,
S2,
S3,
S3,
S2,
S2,
V1,무직형
V2,부채과다형
V3,연체형
S2,
S2,
S3,
V1,부채과다형
S2,
V2,부채과다형
V1,비정형노동형
V2,부채과다형
V2,부채과다형
S3,
S1,
V2,부채과다형
S3,
V1,무직형
S3,
S3,
V1,비정형노동형
S3,
V2,부채과다형
S3,
S3,
V1,부채과다형
V1,비정형노동형
V1,이력부족형
V1,무직형
S3,
V1,부채과다형
V1,비정형노동형
